model_tag,seed,seq_len,layer,n_layers,K,qbin,qbin_lo,qbin_hi,null_usage,scale0_usage,scale1_usage,scale2_usage
medium,42,4096,1,24,3,2,1024,1536,0.5555909276008606,0.14780817925930023,0.3188658058643341,0.2841953933238983
medium,42,4096,1,24,3,3,1536,2048,0.5516307950019836,0.14692538976669312,0.3241448700428009,0.2874651253223419
medium,42,4096,1,24,3,4,2048,2560,0.5463712215423584,0.1470407247543335,0.3306843936443329,0.29219910502433777
medium,42,4096,1,24,3,5,2560,3072,0.5451338291168213,0.14784970879554749,0.33418163657188416,0.2941763997077942
medium,42,4096,1,24,3,6,3072,3584,0.5379683971405029,0.15051358938217163,0.3390873372554779,0.30061665177345276
medium,42,4096,1,24,3,7,3584,4096,0.5348429679870605,0.15009433031082153,0.34127509593963623,0.3036317527294159
medium,42,4096,2,24,3,0,0,512,0.3487187325954437,0.4027094542980194,0.16653767228126526,0.38090381026268005
medium,42,4096,2,24,3,1,512,1024,0.33333075046539307,0.4245256781578064,0.17495211958885193,0.40356454253196716
medium,42,4096,2,24,3,2,1024,1536,0.32762715220451355,0.4274226725101471,0.17839032411575317,0.4122079014778137
medium,42,4096,2,24,3,3,1536,2048,0.3286058008670807,0.4271535873413086,0.17581744492053986,0.41029003262519836
medium,42,4096,2,24,3,4,2048,2560,0.3323594629764557,0.4229671359062195,0.17339271306991577,0.4071000814437866
medium,42,4096,2,24,3,5,2560,3072,0.3384818732738495,0.41846197843551636,0.17165634036064148,0.4084102213382721
medium,42,4096,2,24,3,6,3072,3584,0.3404727280139923,0.41676798462867737,0.1727897673845291,0.4091409742832184
medium,42,4096,2,24,3,7,3584,4096,0.33821162581443787,0.4166690707206726,0.17375360429286957,0.41000181436538696
medium,42,4096,3,24,3,0,0,512,0.2708549499511719,0.35166317224502563,0.2467593550682068,0.37260207533836365
medium,42,4096,3,24,3,1,512,1024,0.2266358882188797,0.37797150015830994,0.23145954310894012,0.38503414392471313
medium,42,4096,3,24,3,2,1024,1536,0.21460792422294617,0.3853890895843506,0.22793835401535034,0.3950428068637848
medium,42,4096,3,24,3,3,1536,2048,0.20870040357112885,0.384479284286499,0.22368909418582916,0.3972000777721405
medium,42,4096,3,24,3,4,2048,2560,0.20536288619041443,0.382864773273468,0.22509989142417908,0.40044254064559937
medium,42,4096,3,24,3,5,2560,3072,0.20333930850028992,0.3825250566005707,0.22561052441596985,0.4049559533596039
medium,42,4096,3,24,3,6,3072,3584,0.20183882117271423,0.38219892978668213,0.22530847787857056,0.4041811227798462
medium,42,4096,3,24,3,7,3584,4096,0.200632244348526,0.3766561448574066,0.2253223955631256,0.4049486815929413
medium,42,4096,4,24,3,0,0,512,0.3130016624927521,0.38801687955856323,0.36206358671188354,0.3448735177516937
medium,42,4096,4,24,3,1,512,1024,0.3023987114429474,0.38807231187820435,0.3776533603668213,0.35956084728240967
medium,42,4096,4,24,3,2,1024,1536,0.29225292801856995,0.3868716061115265,0.38430389761924744,0.3928773105144501
medium,42,4096,4,24,3,3,1536,2048,0.2832895517349243,0.39430221915245056,0.39179477095603943,0.403143972158432
medium,42,4096,4,24,3,4,2048,2560,0.2732717990875244,0.39705199003219604,0.3936763107776642,0.4102333188056946
medium,42,4096,4,24,3,5,2560,3072,0.2643750309944153,0.3929102420806885,0.40396636724472046,0.42092007398605347
medium,42,4096,4,24,3,6,3072,3584,0.2602331340312958,0.3928869366645813,0.4069914221763611,0.4309197962284088
medium,42,4096,4,24,3,7,3584,4096,0.2540989816188812,0.39436110854148865,0.41034695506095886,0.43630221486091614
medium,42,4096,5,24,3,0,0,512,0.24973557889461517,0.37502142786979675,0.5519301891326904,0.36130017042160034
medium,42,4096,5,24,3,1,512,1024,0.22863823175430298,0.39051100611686707,0.5613638758659363,0.3757907748222351
medium,42,4096,5,24,3,2,1024,1536,0.22427721321582794,0.3963758051395416,0.5607905387878418,0.3789405822753906
medium,42,4096,5,24,3,3,1536,2048,0.21608643233776093,0.3955717086791992,0.5587357878684998,0.3796355426311493
medium,42,4096,5,24,3,4,2048,2560,0.2130419760942459,0.3976031541824341,0.5562155246734619,0.37913838028907776
medium,42,4096,5,24,3,5,2560,3072,0.21108774840831757,0.4000648856163025,0.55386883020401,0.37578949332237244
